voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
3593,General Cargo,38191.0,7,LYTTELTON,0.000330309,"[1.0, 1.0, 1.0, 0.999995, 0.999885, 1.0]","[0.17763708, 0.24178399, 0.30123636, 0.58353451, 0.7436403, 0.84980655]","[0.00012132, 0.00010536, 0.00010536, 0.00010558, 0.00010558, 0.00013117]","[2.15518e-05, 2.54755e-05, 3.17397e-05, 6.16105e-05, 7.85062e-05, 0.0001114676]"
3595,General Cargo,38191.0,7,TAURANGA,0.0004322268,"[1.0, 1.0, 0.999999, 0.999999, 0.999968, 0.999999]","[0.2110744, 0.28473465, 0.51592477, 0.62094742, 0.76466602, 0.88515142]","[0.00013195, 0.00013195, 0.00013088, 0.00013088, 0.00013371, 0.00013088]","[2.78517e-05, 3.75713e-05, 6.75235e-05, 8.12688e-05, 0.0001022389, 0.0001158474]"
3599,Bulker,28355.0,5,AUCKLAND,0.000290862,"[1.0, 1.0, 1.0, 1.0]","[0.23909546, 0.43394329, 0.68673052, 0.8621093]","[0.00010943, 0.00011063, 0.00013992, 0.00013992]","[2.61631e-05, 4.80071e-05, 9.60905e-05, 0.0001206303]"
3602,RoRo,16384.0,7,AUCKLAND,0.000392409,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.23179051, 0.30039585, 0.38238556, 0.58031018, 0.70492113, 0.83360026]","[0.00011063, 0.00011063, 0.00011063, 0.00013992, 0.00013992, 0.00013371]","[2.5643e-05, 3.32328e-05, 4.23033e-05, 8.11997e-05, 9.86358e-05, 0.0001114554]"
3606,Bulker,28344.0,6,NELSON,0.0002117328,"[1.0, 1.0, 1.0, 1.0, 0.999998]","[0.09184628, 0.20937908, 0.40058126, 0.5553688, 0.88681096]","[8.382e-05, 8.967e-05, 0.00012132, 0.00010536, 8.814e-05]","[7.6982e-06, 1.8774e-05, 4.86004e-05, 5.85162e-05, 7.81602e-05]"
3609,General Cargo,18276.0,5,LYTTELTON,0.0002397269,"[1.0, 1.0, 1.0, 1.0]","[0.36556653, 0.48947075, 0.62071178, 0.68596797]","[8.967e-05, 0.00012132, 0.00012132, 0.00010536]","[3.27785e-05, 5.93849e-05, 7.53077e-05, 7.22768e-05]"
3624,Bulker,28386.0,5,NAPIER,0.0001701739,"[1.0, 1.0, 1.0, 1.0]","[0.17303472, 0.31587048, 0.52357383, 0.82815417]","[0.00010536, 0.00010536, 0.00010536, 7.668e-05]","[1.82317e-05, 3.32816e-05, 5.51662e-05, 6.35046e-05]"
3626,Bulker,28386.0,5,GISBORNE,0.0002644809,"[1.0, 1.0, 1.0, 1.0]","[0.20759879, 0.38151275, 0.53591025, 0.88674519]","[0.00013195, 0.00013195, 0.00013195, 0.00013088]","[2.73931e-05, 5.03414e-05, 7.07145e-05, 0.000116056]"
3628,Bulker,57999.0,5,NELSON,0.0002147518,"[1.0, 1.0, 1.0, 1.0]","[0.26202455, 0.42943528, 0.66366858, 0.68320636]","[0.00010536, 0.00010536, 0.00010536, 0.00010536]","[2.76081e-05, 4.52473e-05, 6.99272e-05, 7.19858e-05]"
3634,RoRo,18833.0,7,AUCKLAND,0.0004305785,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.33848187, 0.41224534, 0.49327001, 0.58898491, 0.6562836, 0.88102224]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00011601]","[4.46634e-05, 5.43966e-05, 6.5088e-05, 7.77178e-05, 8.6598e-05, 0.0001021908]"
3635,RoRo,18836.0,5,AUCKLAND,0.0003755031,"[1.0, 0.999998, 0.999913, 0.999965]","[0.53833333, 0.64058984, 0.75070296, 0.86776695]","[0.00013992, 0.00013088, 0.00013371, 0.00013371]","[7.53261e-05, 8.38394e-05, 0.0001003665, 0.0001160236]"
