imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9640750,564547000,GIROLANDO EXPRESS,Livestock Carrier,General Cargo,1,5488,10421,Livestock Carrier,,ok
9641780,477732100,IONA ISLAND,Bulk Carrier,Bulker,1,38180,23259,Bulk Carrier,,ok
9641833,352044000,WISDOM ACE,Vehicle Carrier,RoRo,2,19227,59409,Vehicles Carrier,,ok
9643958,371410000,ULTRA HANDY,Bulk Carrier,Bulker,1,38215,23264,Bulk Carrier,,ok
9644043,370413000,GLOBAL ARC,Bulk Carrier,Bulker,1,33438,21158,Bulk Carrier,,ok
9644990,636015659,MATE,Container Ship,Container,7,51939,42814,Container Ship,,ok
9646895,311001204,AFRICAN NIGHTHAWK,Bulk Carrier,Bulker,1,40481,24725,Bulk Carrier,,ok
9646900,311001213,AFRICAN CONDOR,Bulk Carrier,Bulker,1,40481,24725,Bulk Carrier,,ok
9650987,636021254,PAGODA,Bulk Carrier,Bulker,1,28227,16991,Bulk Carrier,,ok
9654581,538005088,ARDMORE EXPLORER,Tanker,Tanker,1,49494,30063,Chemical/Oil Products Tanker,,ok
9655846,477464100,CHINA SPIRIT,Bulk Carrier,Bulker,1,35097,22434,Bulk Carrier,,ok
9658800,636021550,MAJESTY STAR,Bulk Carrier,Bulker,1,33382,21168,Bulk Carrier,,ok
9660126,477222400,ATLANTIC SPIRIT,Bulk Carrier,Bulker,1,35053,22434,Bulk Carrier,,ok
9660592,352787000,FLORA CENTURY,Bulk Carrier,Bulker,1,57905,32370,Bulk Carrier,,ok
9662370,538004740,MAPLE STAR,Bulk Carrier,Bulker,1,35322,23857,Bulk Carrier,,ok
9663271,477231500,INCE POINT,Bulk Carrier,Bulker,1,37503,23393,Bulk Carrier,,ok
9663283,477694600,ISLAND BAY,Bulk Carrier,Bulker,2,37649,23386,Bulk Carrier,,ok
9664263,636020876,CONTSHIP YEN,Container Ship,Container,1,13102,9932,Container Ship,,ok
9667722,370392000,CHISE BULKER,Bulk Carrier,Bulker,1,33355,21174,General Cargo Ship,,ok
9667942,538005761,ARDMORE ENDEAVOUR,Tanker - Hazard A,Tanker,1,49859,29974,Chemical/Oil Products Tanker,,ok
9668312,353233000,PACIFIC CALM,Bulk Carrier,Bulker,1,38123,23269,Bulk Carrier,,ok
9668362,356836000,POAVOSA ACE,Bulk Carrier,Bulker,5,28208,17027,Bulk Carrier,,ok
9668922,477121800,PELICAN ISLAND,Bulk Carrier,Bulker,1,57905,32424,Bulk Carrier,,ok
9669615,538010749,MELBOURNE SPIRIT,Bulk Carrier,Bulker,1,35573,23405,Bulk Carrier,,ok
9669627,538010750,TOKYO SPIRIT,Bulk Carrier,Bulker,1,35550,23405,Bulk Carrier,,ok
9669940,538005269,STI OPERA,Tanker,Tanker,1,49990,29886,Chemical/Oil Products Tanker,,ok
9671450,244790606,ATLANTIC DAWN,Container Ship,Container,1,4476,5460,General Cargo Ship,,ok
9672105,247341500,GRANDE COTONOU,Ro-Ro Cargo,RoRo,1,31340,71543,Ro-Ro Cargo Ship,,ok
9672208,371487000,AMIRA SOPHIE II,Bulk Carrier,Bulker,2,34358,21514,Bulk Carrier,,ok
9672222,371133000,DAIWAN CHAMPION,Bulk Carrier,Bulker,7,34393,21525,Bulk Carrier,,ok
9673678,538007300,FAIRCHEM SWORD,Tanker,Tanker,2,19993,11752,Chemical/Oil Products Tanker,,ok
9674658,563160000,MMA LEEUWIN,Offshore Tug/Supply Ship,Other,1,4000,3464,Offshore Supply Ship,,ok
9675561,357400000,GLOBE EXPLORER,Bulk Carrier,Bulker,1,28316,17027,Bulk Carrier,,ok
9675585,357076000,MORNING CHERRY,Vehicle Carrier,RoRo,2,18556,59525,Vehicles Carrier,,ok
9675779,564118000,SANTA MARIA,Bulk Carrier,Bulker,1,61323,34802,Bulk Carrier,,ok
9675808,636020796,CONTSHIP REX,Container Ship,Container,2,13054,9932,Container Ship,,ok
9675810,636020961,SCION MAFALDA,Container Ship,Container,4,13048,9932,Container Ship,,ok
9676709,565376000,MATHILDE SCHULTE,Container Ship,Container,8,30337,27279,Container Ship,,ok
9680724,247341900,GRANDE DAKAR,Ro-Ro Cargo,RoRo,1,30796,71543,Ro-Ro Cargo Ship,,ok
9681883,311001319,AFRICAN LAPWING,Bulk Carrier,Bulker,1,39757,24785,Bulk Carrier,,ok
9681895,565324000,ERISORT,Cargo,General Cargo,1,39763,24785,Bulk Carrier,,ok
9682760,311000206,AFRICAN LARK,Bulk Carrier,Bulker,1,34402,21532,Bulk Carrier,,ok
9682772,311000205,AFRICAN DOVE,Bulk Carrier,Bulker,1,34402,21532,Bulk Carrier,,ok
9684976,257864000,HOEGH TARGET,Vehicle Carrier,RoRo,3,22068,76420,Vehicles Carrier,,ok
9684988,258389000,HOEGH TRIGGER,Vehicle Carrier,RoRo,1,22088,76420,Vehicles Carrier,,ok
9684990,258628000,HOEGH TRACER,Vehicle Carrier,RoRo,1,21983,76420,Vehicles Carrier,,ok
9685097,304617000,BBC LOUISE,General Cargo,General Cargo,1,12100,9719,General Cargo Ship,,ok
9685774,232049845,CELANDINE,Container Ship,Container,1,24475,18848,Container Ship,,ok
9686716,538005173,STI DAMA,Tanker,Tanker,1,49990,29875,Chemical/Oil Products Tanker,,ok
9687667,372417000,ARAGO,Tanker,Tanker,2,4755,4256,LPG Tanker,,ok
9690092,636092708,SEATRADE ORANGE,Container Ship,Container,10,26947,24901,Container Ship,,ok
9690107,636092711,SEATRADE RED,Container Ship,Container,10,27025,24901,Container Ship,,ok
9690884,565831000,FENGNING,Bulk Carrier,Bulker,1,39836,24785,Bulk Carrier,,ok
9690901,563217000,FOOCHOW,Bulk Carrier,Bulker,2,39758,24785,Bulk Carrier,,ok
9690913,564260000,FUNING,Bulk Carrier,Bulker,1,39784,24785,Bulk Carrier,,ok
9691644,538005754,UNION TAYLOR,General Cargo,General Cargo,1,37693,23216,Bulk Carrier,,ok
9692351,538006490,SILVER EBALINA,Tanker,Tanker,1,49635,29327,Chemical/Oil Products Tanker,,ok
9692375,538006666,SILVER VENUS,Tanker,Tanker,1,49635,29327,Chemical/Oil Products Tanker,,ok
9692739,352597000,MAGPIE SW,Bulk Carrier,Bulker,1,34302,21561,Bulk Carrier,,ok
9692741,355148000,CORESKY OL,Bulk Carrier,Bulker,1,34302,21561,Bulk Carrier,,ok
9693214,477654600,PILATUS VENTURE,Bulk Carrier,Bulker,1,63276,36336,Bulk Carrier,,ok
9694414,563417000,MARINER,Container Ship,Container,8,30189,27279,Container Ship,,ok
9694438,563549000,MAJESTIC,Container Ship,Container,10,30136,27279,Container Ship,,ok
9697428,563004200,DALI,Container Ship,Container,1,116851,95128,Container Ship,,ok
9697636,538005188,SEAWAYS CASTLE HILL,Tanker,Tanker,1,49990,29806,Chemical/Oil Products Tanker,,ok
9698252,538005751,WIDE INDIA,Container Ship,Container,4,65165,51872,Container Ship,,ok
9698628,538005732,SAN FELIPE,Container Ship,Container,1,120964,97367,Container Ship,,ok
9699206,563052800,MAERSK SAN VICENTE,Container Ship,Container,1,112224,94930,Container Ship,,ok
9699244,352712000,GAS KATE,Tanker,Tanker,3,4752,4256,LPG Tanker,,ok
9700287,311000243,AFRICAN RAVEN,General Cargo,General Cargo,1,37711,23753,General Cargo Ship,,ok
9700299,311000317,AFRICAN ROOK,Bulk Carrier,Bulker,2,37686,23750,General Cargo Ship,,ok
9700512,249011000,TITUS,Vehicle Carrier,RoRo,1,23889,73358,Vehicles Carrier,,ok
9700524,265012000,TRAVIATA,Vehicle Carrier,RoRo,1,23889,73358,Vehicles Carrier,,ok
9700794,311000259,AFRICAN HARRIER,Bulk Carrier,Bulker,1,37707,23322,Bulk Carrier,,ok
9700940,565138000,IVS PHINDA,General Cargo,General Cargo,4,37720,23224,General Cargo Ship,,ok
9701009,565577000,IVS THANDA,General Cargo,General Cargo,4,37715,23224,General Cargo Ship,,ok
9701035,477348200,KANDA LOGGER,General Cargo,General Cargo,1,37613,23275,Bulk Carrier,,ok
9701059,477252500,KULTUS COVE,Bulk Carrier,Bulker,1,37574,23275,Bulk Carrier,,ok
9701243,636022717,ADALINE,Bulk Carrier,Bulker,1,34334,21532,Bulk Carrier,,ok
9701451,477790300,PACIFIC HARMONY,General Cargo,General Cargo,1,31798,22362,General Cargo Ship,,ok
9702443,229711000,THERMOPYLAE,Vehicle Carrier,RoRo,3,23786,75283,Vehicles Carrier,,ok
9702455,229710000,THALATTA,Vehicle Carrier,RoRo,2,23786,75283,Vehicles Carrier,,ok
9702522,538006435,CP GUANGZHOU,Bulk Carrier,Bulker,1,63527,36332,Bulk Carrier,,ok
9703538,477193700,CHIPOL CHANGJIANG,Cargo,General Cargo,1,36947,25471,General Cargo Ship,,ok
9703540,477006700,CHIPOL HUANGHE,General Cargo,General Cargo,1,36947,25471,General Cargo Ship,,ok
9703590,563006900,MP ULTRAMAX 1,Cargo,General Cargo,1,63340,36286,Bulk Carrier,,ok
9703655,538006164,NM CHERRY BLOSSOM,Cargo,General Cargo,1,60494,34349,Bulk Carrier,,ok
9704855,538009258,STOCKHOLM EAGLE,Bulk Carrier,Bulker,1,63500,36336,Bulk Carrier,,ok
9705304,477681700,NORTH ISLAND,Bulk Carrier,Bulker,1,61105,34447,Bulk Carrier,,ok
9705316,477681400,NOBLE ISLAND,Bulk Carrier,Bulker,3,61115,34447,Bulk Carrier,,ok
9706827,538005516,YANGTZE LEGEND,Bulk Carrier,Bulker,4,39172,24605,Bulk Carrier,,ok
9706918,258872000,HOEGH TRAPPER,Vehicle Carrier,RoRo,2,21856,76420,Vehicles Carrier,,ok
9707807,538006005,STI OSCEOLA,Tanker,Tanker,1,49990,29899,Chemical/Oil Products Tanker,,ok
9707819,215931000,VUKOVAR,Tanker,Tanker,2,49990,29785,Chemical/Oil Products Tanker,,ok
9708215,538006130,ARDMORE SEAFOX,Tanker,Tanker,1,49999,29760,Chemical/Oil Products Tanker,,ok
9708617,219179000,MAERSK TACOMA,Tanker,Tanker,1,49828,29459,Chemical/Oil Products Tanker,,ok
9709312,374515000,DAIWAN JUSTICE,Bulk Carrier,Bulker,5,34327,21525,Bulk Carrier,,ok
9709324,374547000,DAIWAN KALON,Bulk Carrier,Bulker,1,34327,21525,Bulk Carrier,,ok
9709336,355835000,DAIWAN HERO,Bulk Carrier,Bulker,2,34376,21525,Bulk Carrier,,ok
9709348,373836000,DAIWAN INFINITY,Bulk Carrier,Bulker,1,34376,21525,Bulk Carrier,,ok
9710074,477637200,GOLDEN RESOLUTION,Tanker - Hazard C,Tanker,2,12702,8045,Chemical/Oil Products Tanker,,ok
9710086,538006103,YANGTZE KEEPER,Bulk Carrier,Bulker,4,39000,24605,Bulk Carrier,,ok
9710529,538006958,CP NANJING,Cargo,General Cargo,1,63526,36332,Bulk Carrier,,ok
9710749,259274000,HOEGH TROTTER,Vehicle Carrier,RoRo,1,21901,76420,Vehicles Carrier,,ok
9711901,372638000,BC ZOE,Bulk Carrier,Bulker,1,33443,21168,Bulk Carrier,,ok
9712462,477112200,DARYA TAPTI,Bulk Carrier,Bulker,1,35947,21801,Bulk Carrier,,ok
9713167,235110509,BERGE HAKODATE,Bulk Carrier,Bulker,2,34534,21530,Bulk Carrier,,ok
9713179,235111726,BERGE DAISETSU,Bulk Carrier,Bulker,1,34533,21530,Bulk Carrier,,ok
9713181,235113778,BERGE ASAHIDAKE,Bulk Carrier,Bulker,1,34545,21530,Bulk Carrier,,ok
