imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9799678,Gallop,Tanker,22988,Tanker,Small,False,12732,2024/12/2,37250,22988,Chemical/Oil Products Tanker,,ok
9744946,Earth Summit,Tanker,17235,Tanker,Small,False,5810,2024/12/5,16940,17235,LPG Tanker,,ok
9468530,MARLIN PEARL,Tanker,5539,Tanker,Small,False,1725,2024/7/18,6003,5539,Asphalt/Bitumen Tanker,,ok
9340350,OWL 6,Tanker,8539,Tanker,Small,False,4163,2024/11/5,13006,8539,Chemical/Oil Products Tanker,,ok
9702194,TORM DANICA,Tanker,29485,Tanker,Small,False,17238,2024/11/17,49999,29485,Chemical/Oil Products Tanker,,ok
9749362,Willard J,Tanker,17858,Tanker,Small,False,9799,2024/12/18,25161,17858,Chemical/Oil Products Tanker,,ok
9124469,Stolt Achievement,Tanker,25196,Tanker,Small,False,100,2024/5/13,37141,25196,Chemical/Oil Products Tanker,,ok
9753698,HAFNIA TOURMALINE,Tanker,29492,Tanker,Small,False,17546,2024/12/5,49513,29492,Chemical/Oil Products Tanker,,ok
9789726,MANTA BEYOGLU,Tanker,25086,Tanker,Small,False,5416,2024/12/13,28585,25086,LPG Tanker,,ok
9654787,Ardmore Engineer,Tanker,30069,Tanker,Medium,False,17063,2024/12/1,49420,30069,Chemical/Oil Products Tanker,,ok
9680085,Stolt Sincerity,Tanker,29903,Tanker,Medium,False,904,2024/8/25,38850,29903,Chemical/Oil Products Tanker,,ok
9703019,BW Leo,Tanker,47922,Tanker,Medium,False,17393,2024/12/4,54116,47922,LPG Tanker,,ok
9950583,ENEOS GUNJO,Tanker,49541,Tanker,Medium,False,18482,2024/11/24,56531,49541,LPG Tanker,,ok
9795672,Laurel Prime,Tanker,47961,Tanker,Medium,False,16562,2024/9/17,55115,47961,LPG Tanker,,ok
9396775,PACIFIC PRIDE,Tanker,30056,Tanker,Medium,False,19988,2024/1/18,50698,30056,Chemical/Oil Products Tanker,,ok
9897559,FLANDERS PIONEER,Tanker,50468,Tanker,Medium,False,19770,2024/12/7,54857,50468,LPG Tanker,,ok
