voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
2577,Container,3,12502,7,TAURANGA,17.94195602,0.0001802621,0.999996,0.27740231833333334,0.00010727666666666665
2579,Container,1,42054,7,NELSON,58.13756944,0.0002527079,0.9999961666666666,0.39038988833333327,0.00010243333333333333
2586,Tanker,4,19701,7,TAURANGA,42.95454861,0.0003064417,0.9999876666666667,0.3981032466666667,0.00011894
2588,Container,0,65937,5,AUCKLAND,35.22835648,0.000243264,0.99999125,0.47334053499999995,0.00012846
2589,Container,0,65937,7,AUCKLAND,26.91525463,0.0004187031,0.9999941666666666,0.5502328799999999,0.00012700333333333334
2590,Container,0,65937,7,AUCKLAND,26.9703588,0.0004096358,0.9999941666666666,0.5380060583333334,0.00012700333333333334
2591,Container,0,65937,7,AUCKLAND,26.78351852,0.00041194,0.9999941666666666,0.5410876699999999,0.00012700333333333334
2592,Container,0,65937,7,AUCKLAND,29.78983796,0.0003910382,0.9999941666666666,0.5135953116666667,0.00012700333333333334
2593,Container,0,65937,7,AUCKLAND,34.41630787,0.0003650905,0.9999941666666666,0.4786417616666667,0.00012700333333333334
2594,Container,0,65937,7,AUCKLAND,33.62199074,0.0003625705,0.9999941666666666,0.4759882,0.00012700333333333334
2595,Container,0,65937,7,AUCKLAND,26.78844907,0.0004200883,0.9999941666666666,0.5521268966666667,0.00012700333333333334
2596,Container,0,65937,7,AUCKLAND,26.60261574,0.0004150168,0.9999941666666666,0.545203075,0.00012700333333333334
2597,Container,0,65937,7,AUCKLAND,29.95082176,0.0004042888,0.9999941666666666,0.5314470533333333,0.00012700333333333334
2598,Container,0,65937,7,AUCKLAND,27.56311343,0.0003990927,0.9999941666666666,0.5242797233333333,0.00012700333333333334
2599,Container,0,65937,7,AUCKLAND,26.87939815,0.0004161646,0.9999941666666666,0.5473084683333332,0.00012700333333333334
2601,Container,3,12502,6,TAURANGA,22.51741898,0.0001461913,0.9999978,0.26281896,0.00010907
2602,Container,3,12502,7,TAURANGA,29.04689815,0.0001654972,0.9999981666666667,0.2501693583333333,0.00010804333333333333
2604,Container,3,12502,5,TAURANGA,19.1974537,0.0001266026,0.9999972500000001,0.2892634025,0.00011061
2605,Container,3,12502,7,AUCKLAND,30.35649306,0.0001605309,0.9999941666666666,0.24988536333333333,0.00010804333333333333
2606,Container,3,12502,7,TAURANGA,17.245625,0.0001660707,1.0,0.26898001,0.00010291
2607,Container,3,12502,7,TAURANGA,16.865625,0.0001776519,0.999996,0.27381976166666666,0.00010727666666666665
2608,Container,3,12502,7,TAURANGA,17.5719213,0.0001809301,0.999996,0.2787463683333333,0.00010727666666666665
2609,Container,3,12502,7,TAURANGA,20.85747685,0.0001691475,0.999996,0.26047794333333335,0.00010727666666666665
2610,Container,3,12502,7,TAURANGA,21.68917824,0.0001877746,0.9999941666666666,0.27958666,0.00011241
2611,Container,3,12502,7,TAURANGA,22.95730324,0.0001766513,0.999996,0.26786271,0.00010938
2612,Container,3,12502,7,AUCKLAND,19.75083333,0.0001745979,0.9999888333333334,0.2687506516666667,0.00010727666666666665
2613,Container,3,12502,7,TAURANGA,22.86637731,0.0001704334,0.999996,0.26216653833333337,0.00010727666666666665
2614,Container,0,12502,7,TAURANGA,38.70856481,0.0001752337,0.9999923333333335,0.23490636333333334,0.00012205666666666665
2615,Container,3,12502,7,TAURANGA,23.14314815,0.0001680204,0.999996,0.2585137183333333,0.00010727666666666665
2616,Container,3,12502,7,TAURANGA,24.25168981,0.0001851742,0.9999941666666666,0.27566419166666667,0.00011241
2628,Container,2,22314,5,AUCKLAND,22.04792824,0.0001618163,0.99991475,0.3676233,0.000110105
2629,Container,2,22314,5,AUCKLAND,18.68275463,0.000166344,0.99991475,0.3772298425,0.000110105
2632,Container,2,22314,5,TAURANGA,16.86131944,0.0001778985,0.9998925000000001,0.39378252999999996,0.0001131
2634,Container,2,22314,6,TAURANGA,15.31290509,0.0002262057,0.9999140000000001,0.40733576200000005,0.000111354
2636,Container,2,22314,6,TAURANGA,17.77696759,0.0002145737,0.9999140000000001,0.38616659200000003,0.000111354
2638,Container,2,22314,6,TAURANGA,17.02751157,0.0002183298,0.9999140000000001,0.39290475199999997,0.000111354
2640,Container,2,22314,6,TAURANGA,18.00178241,0.0002191647,0.9999140000000001,0.39453403800000003,0.000111354
2641,Container,3,22314,5,AUCKLAND,13.41732639,0.0002154225,0.99993825,0.4052606575,0.0001330025
2642,Container,2,22314,6,TAURANGA,19.78909722,0.0002241578,0.9999140000000001,0.403740598,0.000111354
2644,Container,2,22314,6,TAURANGA,16.23936343,0.0002179235,0.9999140000000001,0.39219761399999997,0.000111354
2646,Container,2,22314,6,TAURANGA,19.85423611,0.000219305,0.9999140000000001,0.394776186,0.000111354
2648,Container,2,22314,6,TAURANGA,29.28658565,0.0002109565,0.9999140000000001,0.38046683400000003,0.000111354
2649,Container,2,22314,6,TAURANGA,20.515,0.000209243,0.9999140000000001,0.376695504,0.000111354
2650,Container,2,22314,5,TAURANGA,14.15840278,0.0001809802,0.999967,0.4128122425,0.00011019
2651,Container,2,22314,5,TAURANGA,16.99482639,0.0001815607,0.9998925000000001,0.4020306475,0.0001131
2652,Container,2,22314,5,TAURANGA,14.2930787,0.0001835181,0.999967,0.418381705,0.00011019
2653,Container,2,22314,5,TAURANGA,17.10819444,0.0001853528,0.9998925000000001,0.41036466,0.0001131
2655,Container,2,22314,5,TAURANGA,15.87913194,0.0001818289,0.999967,0.41471965,0.00011019
